Date;Mkt-RF;SMB;HML;RF
2000-02;5,87;1,73;-9,5;0,43
2000-03;0,66;-5,25;3,23;0,47
2000-04;-5,58;-5,42;5,8;0,46
2000-05;-0,07;-0,12;6,06;0,5
2000-06;0,68;0;3,21;0,4
2000-07;-1,58;-1,03;3,3;0,48
2000-08;-1,57;0,87;-0,38;0,5
2000-09;-4,99;2;2,64;0,51
2000-10;-2,7;-6,96;7,63;0,56
2000-11;-4,55;-1,41;11,16;0,51
2000-12;5,68;0,42;3,32;0,5
2001-01;0,39;1,74;0,69;0,54
2001-02;-8,69;4,72;9,42;0,38
2001-03;-9,34;-1,03;5,83;0,42
2001-04;7,4;-3,79;-3,15;0,39
2001-05;-5,03;2,64;4,23;0,32
2001-06;-3,65;-1;6,21;0,28
2001-07;-0,7;-2,21;3,81;0,3
2001-08;-2,03;2,04;4,14;0,31
2001-09;-11,56;-5,25;2,34;0,28
2001-10;3,24;1,79;-3,29;0,22
2001-11;4,09;1,8;-1,1;0,17
2001-12;1,82;-1,83;1,4;0,15
2002-01;-4,7;2,94;1,83;0,14
2002-02;0,41;-0,35;1,74;0,13
2002-03;5,08;-0,41;0,74;0,13
2002-04;-0,32;2,92;4,76;0,15
2002-05;0,43;1,73;4,7;0,14
2002-06;-2,48;1,12;2,42;0,13
2002-07;-10,59;1,76;3,15;0,15
2002-08;0,14;-2,24;2,11;0,14
2002-09;-13,17;3;-1,9;0,14
2002-10;8,58;-6,73;-0,84;0,14
2002-11;4,89;-0,78;2,16;0,12
2002-12;-2,76;3,57;3,24;0,11
2003-01;-3,45;2,08;2,52;0,1
2003-02;-3,35;0,33;1,66;0,09
2003-03;-1,49;0,82;-0,51;0,1
2003-04;13,12;-2,1;0,24;0,1
2003-05;7,67;2,71;1,13;0,09
2003-06;1,17;2;0,41;0,1
2003-07;1,71;0,9;3,88;0,07
2003-08;0,19;3,11;0,01;0,07
2003-09;2,8;2,71;0,07;0,08
2003-10;6,2;-1,2;3,66;0,07
2003-11;4,49;0;0,41;0,07
2003-12;7,32;-2,01;0,49;0,08
2004-01;2,47;3,68;2,39;0,07
2004-02;3,1;1,06;0,37;0,06
2004-03;-3,32;0,88;-0,25;0,09
2004-04;-1,23;-0,96;0,86;0,08
2004-05;1,42;-0,99;-0,84;0,06
2004-06;1,99;1,09;0,98;0,08
2004-07;-3,12;0,08;0,45;0,1
2004-08;0,37;-0,46;1,32;0,11
2004-09;4,01;0,22;0,74;0,11
2004-10;4,06;0,04;0,69;0,11
2004-11;6,86;2,09;1,73;0,15
2004-12;4,25;0,37;0,72;0,16
2005-01;-1,25;3,56;1,57;0,16
2005-02;4,59;0,77;1,04;0,16
2005-03;-2,57;-0,17;0,24;0,21
2005-04;-2,59;0,54;-0,11;0,21
2005-05;-0,03;-1,66;1,18;0,24
2005-06;1,53;0,95;1,64;0,23
2005-07;3,82;0,34;1,34;0,24
2005-08;2,02;2,13;-0,11;0,3
2005-09;1,48;-0,35;0,12;0,29
2005-10;-3,41;-1,19;0,41;0,27
2005-11;1,29;-0,29;0,56;0,31
2005-12;3,8;0,61;0,44;0,32
2006-01;6,38;2,24;1,74;0,35
2006-02;0,55;2,1;1,45;0,34
2006-03;3,99;0,74;1,71;0,37
2006-04;5,25;1,83;-0,32;0,36
2006-05;-3,64;-0,95;-0,55;0,43
2006-06;-0,21;-1,61;-0,51;0,4
2006-07;1,01;-1,8;1,61;0,4
2006-08;2,7;-0,27;0,39;0,42
2006-09;0,69;0,08;0,32;0,41
2006-10;3,82;0,09;1,5;0,41
2006-11;3,76;2,58;0,34;0,42
2006-12;3,32;0,97;0,55;0,4
2007-01;0,61;1,88;0,77;0,44
2007-02;-0,51;1,23;-0,09;0,38
2007-03;3,71;0,68;0,04;0,43
2007-04;5,54;-0,26;1,26;0,44
2007-05;1,56;-0,72;0,56;0,41
2007-06;-0,16;-0,66;0,4;0,4
2007-07;-2,22;1,81;-0,36;0,4
2007-08;-2,08;-3,16;-0,06;0,42
2007-09;4,82;-3,72;-0,85;0,32
2007-10;4,34;0,42;-0,92;0,32
2007-11;-4,03;-4,77;-1,76;0,34
2007-12;-2,1;-0,86;1,22;0,27
2008-01;-10,01;0,38;-0,01;0,21
2008-02;1,96;2,71;-0,51;0,13
2008-03;0,26;-0,57;2,37;0,17
2008-04;4,41;-2,55;-0,01;0,18
2008-05;0,85;0,48;-1,17;0,18
2008-06;-8,68;1,68;-0,7;0,17
2008-07;-3,83;-2,16;0,95;0,15
2008-08;-4,57;0,11;-0,09;0,13
2008-09;-15,07;-3,1;0,91;0,15
2008-10;-22,02;-4,91;-3,53;0,08
2008-11;-7,18;-0,99;-3,63;0,03
2008-12;6,7;-1,47;1,21;0
2009-01;-10,99;4,92;-4,05;0
2009-02;-9,96;4,55;-4,23;0,01
2009-03;6,94;-2,54;1,46;0,02
2009-04;13,67;1,81;6,66;0,01
2009-05;12,86;1,27;-1,24;0
2009-06;-1,87;1,56;-1,19;0,01
2009-07;10,18;-3,92;3,78;0,01
2009-08;5,65;1,85;7,53;0,01
2009-09;5,43;1,68;1,13;0,01
2009-10;-1,85;1,63;-3,28;0
2009-11;3;-2,04;-1,22;0
2009-12;0,94;-1,82;-1,24;0,01
2010-01;-5,28;4,7;-1,87;0
2010-02;-2,1;-0,71;-1,79;0
2010-03;6,41;-1,13;4,27;0,01
2010-04;-1,66;3,19;-0,29;0,01
2010-05;-12,05;-0,2;-3,59;0,01
2010-06;-0,98;0,11;-2,22;0,01
2010-07;11,88;-2,04;4,59;0,01
2010-08;-4,26;-0,11;-2,69;0,01
2010-09;11,56;0,98;-0,26;0,01
2010-10;4,98;0,49;0,07;0,01
2010-11;-8,03;1,15;-3,42;0,01
2010-12;9,04;2,26;1,17;0,01
2011-01;3,68;-0,43;5,47;0,01
2011-02;3,06;-1,15;0,7;0,01
2011-03;-0,17;2,17;-1,85;0,01
2011-04;8,14;-1,12;-0,76;0
2011-05;-3,06;0,16;-2,25;0
2011-06;-2,05;-1,36;0,08;0
2011-07;-3,33;0,32;-4,05;0
2011-08;-10,1;0,76;-3,79;0,01
2011-09;-11,61;-1,08;-1,88;0
2011-10;10,97;-3,4;-1,23;0
2011-11;-4,84;-2,55;-3,36;0
2011-12;-2,2;-0,98;-1,06;0
2012-01;5,68;2,75;1,06;0
2012-02;6,41;1,52;-0,36;0
2012-03;0,02;0,66;-1,41;0
2012-04;-2,23;1,37;-4,19;0
2012-05;-12,32;0,2;-2,58;0,01
2012-06;7,13;-4,62;3,13;0
2012-07;0,56;-1,19;-2,58;0
2012-08;4,5;-0,18;3,19;0,01
2012-09;3,49;1,39;2,16;0,01
2012-10;1,66;-0,72;1,78;0,01
2012-11;2,27;-2,48;-0,58;0,01
2012-12;3,38;2,31;3,03;0,01
2013-01;6,2;0,39;4,33;0
2013-02;-2,49;2,05;-3,35;0
2013-03;-0,54;-0,46;-4,3;0
2013-04;4,16;-1,66;3,67;0
2013-05;1,05;1,07;2,82;0
2013-06;-4,64;2,3;-2,56;0
2013-07;7,45;-1,63;2,8;0
2013-08;-0,7;2,77;0,51;0
2013-09;7,05;0,18;1,38;0
2013-10;4,49;-0,18;4,39;0
2013-11;1,33;0,87;-0,42;0
2013-12;2,37;0,54;-0,2;0
2014-01;-3,03;3,57;2,58;0
2014-02;7,42;0,45;0,37;0
2014-03;-0,54;0,33;1,72;0
2014-04;1,77;-2,19;0,29;0
2014-05;0,77;-0,68;-0,41;0
2014-06;-0,12;0,12;-1,76;0
2014-07;-4,1;-0,43;0,4;0
2014-08;-0,02;-0,97;-1,01;0
2014-09;-3,79;-2,28;-0,44;0
2014-10;-2,7;-1,23;-3,09;0
2014-11;2,12;-1,35;-1,82;0
2014-12;-3,7;2,22;-2,35;0
2015-01;-0,31;-1,56;-3,52;0
2015-02;6,21;0,99;1,96;0
2015-03;-2,28;-0,51;-0,35;0
2015-04;4,79;2,18;0,33;0
2015-05;-0,15;1,66;-2,47;0
2015-06;-2,84;2,03;0,15;0
2015-07;2,39;-0,81;-2,65;0
2015-08;-6,02;3,7;-1;0
2015-09;-4,27;1,11;-3,63;0
2015-10;6,19;-2,97;-0,77;0
2015-11;-1,49;0,33;-2,8;0
2015-12;-1,86;3,77;-1,25;0,01
2016-01;-6,43;-0,76;-1,49;0,01
2016-02;-1,71;1,45;0,37;0,02
2016-03;6,7;1,71;1,19;0,02
2016-04;2,38;-0,64;3,35;0,01
2016-05;-0,38;1,53;-2,87;0,01
2016-06;-5,01;-2,39;-1,64;0,02
2016-07;4,44;1,54;0,21;0,02
2016-08;0,78;1,61;1,93;0,02
2016-09;0,95;0,92;-0,15;0,02
2016-10;-3,08;-0,77;6,36;0,02
2016-11;-2,5;0,89;1,92;0,01
2016-12;4,72;-0,83;1,99;0,03
2017-01;2,84;2,03;0,47;0,04
2017-02;0,68;-0,04;-2,6;0,04
2017-03;4,27;-1,3;0,5;0,03
2017-04;4,63;1,91;-1,3;0,05
2017-05;5,03;0,02;-0,79;0,06
2017-06;-0,67;1,55;2,03;0,06
2017-07;3,49;0,8;2,59;0,07
2017-08;0,11;-0,06;-0,71;0,09
2017-09;2,72;-0,12;0,47;0,09
2017-10;0,59;-0,96;-0,13;0,09
2017-11;-0,01;-0,38;1,29;0,08
2017-12;1,47;1,55;0,5;0,09
2018-01;5,52;0,8;1,1;0,11
2018-02;-5,35;1,22;-0,75;0,11
2018-03;-0,71;-0,56;-0,94;0,12
2018-04;2,2;-0,74;1,51;0,14
2018-05;-2,73;1,23;-4,99;0,14
2018-06;-0,92;-0,85;-1,56;0,14
2018-07;2,69;-1,91;0,4;0,16
2018-08;-2,65;0,88;-2,65;0,16
2018-09;0,12;-1,46;2,34;0,15
2018-10;-8,54;-1,7;1,47;0,19
2018-11;-1,31;-1,18;-0,57;0,18
2018-12;-4,59;-0,68;0,95;0,19
2019-01;6,19;0,59;-0,95;0,21
2019-02;2,93;-1,47;-1,23;0,18
2019-03;0,58;-1,76;-2,33;0,19
2019-04;3,7;0,1;-1,04;0,21
2019-05;-5,34;1,32;-1,54;0,21
2019-06;5,87;-2,64;-1,32;0,18
2019-07;-2,56;-1,28;0,09;0,19
2019-08;-2,4;-0,59;-1,96;0,16
2019-09;2,15;-0,89;3,08;0,18
2019-10;3,27;0,93;-0,5;0,15
2019-11;1,77;2,07;-2,24;0,12
2019-12;4,07;2,79;0,41;0,14
2020-01;-2,55;0,36;-2,88;0,13
2020-02;-8,98;0,29;-0,73;0,12
2020-03;-15,44;-4,22;-11,3;0,12
2020-04;6,7;5,04;-3,81;0
2020-05;5,43;1,21;-4,14;0,01
2020-06;4,04;-1,2;1,74;0,01
2020-07;3,99;2,69;-4,75;0,01
2020-08;4,95;2,91;-1,74;0,01
2020-09;-2,97;0,85;-3,74;0,01
2020-10;-4,72;1,21;-0,2;0,01
2020-11;16,62;0,3;10,76;0,01
2020-12;5,67;4,66;-1,76;0,01
2021-01;-1,25;1,66;-0,29;0
2021-02;2,6;0,87;5,73;0
2021-03;3,18;-1,97;3,47;0
2021-04;5,29;2,14;-3,19;0
2021-05;4,52;-0,99;2,06;0
2021-06;-1,66;-1,49;-2,5;0
2021-07;2,1;0,6;-2,98;0
2021-08;1,45;1,83;-1,18;0
2021-09;-4,99;-0,6;4,3;0
2021-10;4,2;-1,62;-0,64;0
2021-11;-4,29;-0,92;-2,11;0
2021-12;5,16;-1,35;1,87;0,01
;;;;
;;;;
